                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5872,                 2.0648,                 1.1161,                0.49832,                0.35522,                0.25485,                0.09978,                 1.9875,                 1.6207,                 1.3257,               0.067048,             0.00033284,             0.00033284
                      1,                 1.5974,                 1.7334,                 1.1276,                0.31006,                0.36201,                0.29415,                0.12829,                 1.9117,                  1.547,                 1.2686,               0.034015,              0.0006332,              0.0006332
                      2,                 1.5582,                 1.6695,                 1.1053,                0.32955,                0.36187,                0.30117,                0.12767,                  1.922,                 1.6013,                 1.2892,             0.00094944,             0.00090056,             0.00090056
                      3,                 1.5115,                 1.5769,                 1.0871,                0.33164,                0.38313,                 0.2796,                0.12227,                 1.9465,                 1.5962,                 1.2635,              0.0008515,              0.0008515,              0.0008515
                      4,                 1.5264,                 1.5494,                 1.0906,                0.32331,                0.41554,                0.32429,                0.14602,                 1.9064,                 1.5253,                 1.2544,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4619,                 1.5065,                 1.0708,                0.32705,                0.37746,                0.31252,                0.13433,                 1.9284,                 1.5103,                 1.2672,               0.000802,               0.000802,               0.000802
                      6,                 1.4603,                 1.4736,                 1.0748,                0.26153,                0.39976,                0.30027,                0.13415,                 1.8779,                 1.5121,                 1.2335,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.4429,                 1.4406,                 1.0648,                0.40052,                0.39939,                0.32867,                0.14705,                 1.8611,                 1.4312,                 1.2431,               0.000703,               0.000703,               0.000703
                      8,                 1.4105,                 1.3845,                 1.0452,                0.36177,                0.39032,                0.34981,                0.15998,                 1.8477,                 1.3798,                 1.2252,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.3937,                  1.387,                 1.0483,                 0.3517,                0.38732,                0.32836,                0.14542,                 1.8838,                 1.4338,                 1.2377,               0.000604,               0.000604,               0.000604
                     10,                 1.3854,                 1.3502,                 1.0439,                0.46099,                0.40596,                0.36159,                0.16804,                 1.8493,                 1.3519,                 1.2175,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.3657,                 1.3169,                  1.029,                0.38877,                0.41227,                0.36263,                0.16387,                 1.8515,                 1.3511,                 1.2316,               0.000505,               0.000505,               0.000505
                     12,                 1.3367,                 1.3036,                 1.0192,                0.45634,                0.41386,                 0.3642,                0.16432,                 1.8685,                 1.3297,                 1.2426,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.3406,                 1.2739,                 1.0245,                0.36966,                0.41451,                0.35907,                0.16568,                 1.8025,                 1.3373,                 1.2068,               0.000406,               0.000406,               0.000406
                     14,                 1.3283,                 1.2418,                 1.0153,                0.37469,                 0.3807,                0.35237,                0.16379,                 1.8094,                 1.3424,                 1.2069,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.3117,                 1.2388,                 1.0118,                0.38772,                0.41497,                0.35856,                0.16655,                 1.8414,                 1.3185,                  1.229,               0.000307,               0.000307,               0.000307
                     16,                 1.2927,                 1.2096,                 1.0005,                0.42941,                0.40978,                0.36688,                 0.1717,                 1.8124,                 1.3178,                 1.2139,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.2771,                 1.1867,                 1.0064,                0.42316,                0.43635,                0.37745,                0.17419,                 1.8303,                 1.3036,                 1.2155,               0.000208,               0.000208,               0.000208
                     18,                 1.2613,                 1.1736,                 1.0012,                0.45567,                 0.3948,                  0.372,                0.17412,                 1.8132,                 1.3006,                 1.2156,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2559,                 1.1379,                0.99216,                0.43667,                0.41259,                0.37561,                0.17829,                 1.8157,                 1.2723,                 1.2142,               0.000109,               0.000109,               0.000109
